,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,market,date_cashflow,slice
2024-12-31,-84307.45616,210768.6404,0.0,0.0,0.0,0.0,0.0,-84307.45616,"Abilene,Texas",2024-12-31,Class A
2025-12-31,0.0,215799.448,13218.453450554045,6080.48858725486,-8156.74638348,0.0,0.0,-2076.25779622514,"Abilene,Texas",2024-12-31,Class A
2026-12-31,0.0,232066.8886,13534.94618054243,6226.075243049518,-8156.74638348,0.0,0.0,-1930.6711404304824,"Abilene,Texas",2024-12-31,Class A
2027-12-31,0.0,251092.7305,13759.828283142704,6329.521010245643,-8156.74638348,0.0,0.0,-1827.225373234357,"Abilene,Texas",2024-12-31,Class A
2028-12-31,0.0,272496.255,14109.60531206062,6490.418443547885,-8156.74638348,0.0,0.0,-1666.3279399321154,"Abilene,Texas",2024-12-31,Class A
2029-12-31,0.0,288823.608,14422.714064606584,6634.448469719028,-8156.74638348,-126461.18424,288823.608,160840.12584623904,"Abilene,Texas",2024-12-31,Class A
2024-12-31,-33296.089360000005,83240.2234,0.0,0.0,0.0,0.0,0.0,-33296.089360000005,"Abilene,Texas",2024-12-31,Class B
2025-12-31,0.0,84815.8747,11125.940496769783,5117.9326285141,-3221.39664558,0.0,0.0,1896.5359829340996,"Abilene,Texas",2024-12-31,Class B
2026-12-31,0.0,90562.145,11523.829244903498,5300.961452655609,-3221.39664558,0.0,0.0,2079.5648070756088,"Abilene,Texas",2024-12-31,Class B
2027-12-31,0.0,97274.6991,11833.45481014232,5443.389212665467,-3221.39664558,0.0,0.0,2221.9925670854673,"Abilene,Texas",2024-12-31,Class B
2028-12-31,0.0,104737.4575,12140.526436623657,5584.642160846882,-3221.39664558,0.0,0.0,2363.2455152668817,"Abilene,Texas",2024-12-31,Class B
2029-12-31,0.0,110266.6599,12372.00543717188,5691.122501099064,-3221.39664558,-49944.13404,110266.6599,62792.251715519065,"Abilene,Texas",2024-12-31,Class B
2024-12-31,-25954.102600000006,64885.2565,0.0,0.0,0.0,0.0,0.0,-25954.102600000006,"Abilene,Texas",2024-12-31,Class C
2025-12-31,0.0,66227.344,9908.202744488404,4557.773262464666,-2511.05942655,0.0,0.0,2046.713835914666,"Abilene,Texas",2024-12-31,Class C
2026-12-31,0.0,70843.5753,10268.44471024805,4723.484566714103,-2511.05942655,0.0,0.0,2212.4251401641027,"Abilene,Texas",2024-12-31,Class C
2027-12-31,0.0,76261.6864,10576.166227207465,4865.036464515433,-2511.05942655,0.0,0.0,2353.9770379654333,"Abilene,Texas",2024-12-31,Class C
2028-12-31,0.0,82305.4705,10878.359265442383,5004.045262103496,-2511.05942655,0.0,0.0,2492.9858355534957,"Abilene,Texas",2024-12-31,Class C
2029-12-31,0.0,86834.2369,11107.04768544404,5109.241935304258,-2511.05942655,-38931.1539,86834.2369,50501.265508754266,"Abilene,Texas",2024-12-31,Class C
2024-12-31,-45311.0174,113277.5435,0.0,0.0,0.0,0.0,0.0,-45311.0174,"Akron,Ohio",2024-12-31,Class A
2025-12-31,0.0,116011.3378,16197.103866589718,7450.667778631269,-4383.84093345,0.0,0.0,3066.826845181269,"Akron,Ohio",2024-12-31,Class A
2026-12-31,0.0,123005.472,16953.819944606774,7798.757174519115,-4383.84093345,0.0,0.0,3414.916241069115,"Akron,Ohio",2024-12-31,Class A
