date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2024-12-31,19.0,741.060424804688,761.0,0.0,"Abilene,Texas",2024-12-31,Class A
2025-12-31,-3.0,736.528625488281,761.0,0.0,"Abilene,Texas",2024-12-31,Class A
2026-12-31,5.0,740.577880859375,781.0,20.0,"Abilene,Texas",2024-12-31,Class A
2027-12-31,38.0,779.054321289063,834.0,53.0,"Abilene,Texas",2024-12-31,Class A
2028-12-31,58.0,838.023010253906,899.0,65.0,"Abilene,Texas",2024-12-31,Class A
2029-12-31,65.0,903.231384277344,970.0,71.0,"Abilene,Texas",2024-12-31,Class A
2024-12-31,215.0,3875.970703125,4411.0,64.0,"Abilene,Texas",2024-12-31,Class B
2025-12-31,50.0,3925.37084960938,4410.0,-1.0,"Abilene,Texas",2024-12-31,Class B
2026-12-31,-14.0,3911.16796875,4418.0,8.0,"Abilene,Texas",2024-12-31,Class B
2027-12-31,5.0,3916.84838867188,4439.0,21.0,"Abilene,Texas",2024-12-31,Class B
2028-12-31,19.0,3936.03759765625,4464.0,25.0,"Abilene,Texas",2024-12-31,Class B
2029-12-31,15.0,3952.48754882813,4492.0,28.0,"Abilene,Texas",2024-12-31,Class B
2024-12-31,21.0,3021.21118164063,3295.0,0.0,"Abilene,Texas",2024-12-31,Class C
2025-12-31,-21.0,3000.1376953125,3293.0,-2.0,"Abilene,Texas",2024-12-31,Class C
2026-12-31,-21.0,2977.92919921875,3292.0,-1.0,"Abilene,Texas",2024-12-31,Class C
2027-12-31,-8.0,2969.25927734375,3290.0,-2.0,"Abilene,Texas",2024-12-31,Class C
2028-12-31,-4.0,2966.0498046875,3288.0,-2.0,"Abilene,Texas",2024-12-31,Class C
2029-12-31,-7.0,2957.27099609375,3287.0,-1.0,"Abilene,Texas",2024-12-31,Class C
2024-12-31,-1.0,791.136108398438,974.0,0.0,"Akron,Ohio",2024-12-31,Class A
2025-12-31,22.0,813.731506347656,1021.0,47.0,"Akron,Ohio",2024-12-31,Class A
2026-12-31,19.0,834.160888671875,1028.0,7.0,"Akron,Ohio",2024-12-31,Class A
2027-12-31,13.0,846.432189941406,1042.0,14.0,"Akron,Ohio",2024-12-31,Class A
2028-12-31,13.0,859.842529296875,1058.0,16.0,"Akron,Ohio",2024-12-31,Class A
2029-12-31,13.0,873.009521484375,1074.0,16.0,"Akron,Ohio",2024-12-31,Class A
2024-12-31,363.0,14455.51171875,15768.0,345.0,"Akron,Ohio",2024-12-31,Class B
2025-12-31,184.0,14639.552734375,15768.0,0.0,"Akron,Ohio",2024-12-31,Class B
2026-12-31,89.0,14728.82421875,15845.0,77.0,"Akron,Ohio",2024-12-31,Class B
2027-12-31,111.0,14840.6865234375,15984.0,139.0,"Akron,Ohio",2024-12-31,Class B
2028-12-31,119.0,14958.5380859375,16143.0,159.0,"Akron,Ohio",2024-12-31,Class B
2029-12-31,117.0,15075.1884765625,16308.0,165.0,"Akron,Ohio",2024-12-31,Class B
2024-12-31,-9.0,20115.65234375,21325.0,-2.0,"Akron,Ohio",2024-12-31,Class C
2025-12-31,-108.0,20007.62890625,21315.0,-10.0,"Akron,Ohio",2024-12-31,Class C
2026-12-31,-11.0,19996.62890625,21314.0,-1.0,"Akron,Ohio",2024-12-31,Class C
2027-12-31,17.0,20013.220703125,21319.0,5.0,"Akron,Ohio",2024-12-31,Class C
2028-12-31,-16.0,19996.0,21327.0,8.0,"Akron,Ohio",2024-12-31,Class C
2029-12-31,-30.0,19966.837890625,21336.0,9.0,"Akron,Ohio",2024-12-31,Class C
2024-12-31,-2.0,203.276306152344,208.0,0.0,"Albany,Georgia",2024-12-31,Class A
2025-12-31,0.0,202.17790222168,208.0,0.0,"Albany,Georgia",2024-12-31,Class A
2026-12-31,0.0,200.724105834961,208.0,0.0,"Albany,Georgia",2024-12-31,Class A
2027-12-31,0.0,199.270202636719,208.0,0.0,"Albany,Georgia",2024-12-31,Class A
2028-12-31,0.0,198.882995605469,208.0,0.0,"Albany,Georgia",2024-12-31,Class A
2029-12-31,0.0,198.851501464844,208.0,0.0,"Albany,Georgia",2024-12-31,Class A
2024-12-31,23.0,2755.49243164063,3080.0,0.0,"Albany,Georgia",2024-12-31,Class B
2025-12-31,-17.0,2737.26831054688,3079.0,-1.0,"Albany,Georgia",2024-12-31,Class B
2026-12-31,-17.0,2719.05786132813,3079.0,0.0,"Albany,Georgia",2024-12-31,Class B
2027-12-31,-17.0,2700.72583007813,3079.0,0.0,"Albany,Georgia",2024-12-31,Class B
2028-12-31,-6.0,2695.31469726563,3079.0,0.0,"Albany,Georgia",2024-12-31,Class B
2029-12-31,-2.0,2693.58056640625,3079.0,0.0,"Albany,Georgia",2024-12-31,Class B
2024-12-31,21.0,2385.78833007813,2938.0,0.0,"Albany,Georgia",2024-12-31,Class C
2025-12-31,-19.0,2366.1962890625,2936.0,-2.0,"Albany,Georgia",2024-12-31,Class C
2026-12-31,-20.0,2347.47802734375,2934.0,-2.0,"Albany,Georgia",2024-12-31,Class C
2027-12-31,-20.0,2328.09252929688,2931.0,-3.0,"Albany,Georgia",2024-12-31,Class C
