date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2024-12-31,-1.0,791.136108398438,974.0,0.0,Akron - OH,2024-12-31,Class A
2025-12-31,22.0,813.731506347656,1021.0,47.0,Akron - OH,2024-12-31,Class A
2026-12-31,19.0,834.160888671875,1028.0,7.0,Akron - OH,2024-12-31,Class A
2027-12-31,13.0,846.432189941406,1042.0,14.0,Akron - OH,2024-12-31,Class A
2028-12-31,13.0,859.842529296875,1058.0,16.0,Akron - OH,2024-12-31,Class A
2029-12-31,13.0,873.009521484375,1074.0,16.0,Akron - OH,2024-12-31,Class A
2024-12-31,363.0,14455.51171875,15768.0,345.0,Akron - OH,2024-12-31,Class B
2025-12-31,184.0,14639.552734375,15768.0,0.0,Akron - OH,2024-12-31,Class B
2026-12-31,89.0,14728.82421875,15845.0,77.0,Akron - OH,2024-12-31,Class B
2027-12-31,111.0,14840.6865234375,15984.0,139.0,Akron - OH,2024-12-31,Class B
2028-12-31,119.0,14958.5380859375,16143.0,159.0,Akron - OH,2024-12-31,Class B
2029-12-31,117.0,15075.1884765625,16308.0,165.0,Akron - OH,2024-12-31,Class B
2024-12-31,-9.0,20115.65234375,21325.0,-2.0,Akron - OH,2024-12-31,Class C
2025-12-31,-108.0,20007.62890625,21315.0,-10.0,Akron - OH,2024-12-31,Class C
2026-12-31,-11.0,19996.62890625,21314.0,-1.0,Akron - OH,2024-12-31,Class C
2027-12-31,17.0,20013.220703125,21319.0,5.0,Akron - OH,2024-12-31,Class C
2028-12-31,-16.0,19996.0,21327.0,8.0,Akron - OH,2024-12-31,Class C
2029-12-31,-30.0,19966.837890625,21336.0,9.0,Akron - OH,2024-12-31,Class C
2024-12-31,310.0,4542.99462890625,4699.0,267.0,Albany - NY,2024-12-31,Class A
2025-12-31,200.0,4743.6376953125,5021.0,322.0,Albany - NY,2024-12-31,Class A
2026-12-31,126.0,4870.255859375,5103.0,82.0,Albany - NY,2024-12-31,Class A
2027-12-31,208.0,5078.318359375,5371.0,268.0,Albany - NY,2024-12-31,Class A
2028-12-31,300.0,5379.1962890625,5715.0,344.0,Albany - NY,2024-12-31,Class A
2029-12-31,343.0,5720.626953125,6086.0,371.0,Albany - NY,2024-12-31,Class A
2024-12-31,636.0,26000.513671875,27366.0,787.0,Albany - NY,2024-12-31,Class B
2025-12-31,324.0,26326.017578125,27720.0,354.0,Albany - NY,2024-12-31,Class B
2026-12-31,460.0,26785.5,28203.0,483.0,Albany - NY,2024-12-31,Class B
2027-12-31,432.0,27217.458984375,28525.0,322.0,Albany - NY,2024-12-31,Class B
2028-12-31,403.0,27621.1640625,28939.0,414.0,Albany - NY,2024-12-31,Class B
2029-12-31,409.0,28030.63671875,29384.0,445.0,Albany - NY,2024-12-31,Class B
2024-12-31,-15.0,24533.921875,25741.0,0.0,Albany - NY,2024-12-31,Class C
2025-12-31,-77.0,24455.658203125,25769.0,28.0,Albany - NY,2024-12-31,Class C
2026-12-31,12.0,24467.900390625,25755.0,-14.0,Albany - NY,2024-12-31,Class C
2027-12-31,34.0,24501.50390625,25742.0,-13.0,Albany - NY,2024-12-31,Class C
2028-12-31,17.0,24518.490234375,25729.0,-13.0,Albany - NY,2024-12-31,Class C
2029-12-31,-13.0,24505.509765625,25715.0,-14.0,Albany - NY,2024-12-31,Class C
2024-12-31,430.0,4330.7568359375,5084.0,695.0,Albuquerque - NM,2024-12-31,Class A
2025-12-31,366.0,4696.23486328125,5528.0,444.0,Albuquerque - NM,2024-12-31,Class A
2026-12-31,448.0,5144.6806640625,5724.0,196.0,Albuquerque - NM,2024-12-31,Class A
2027-12-31,315.0,5460.75439453125,5962.0,238.0,Albuquerque - NM,2024-12-31,Class A
2028-12-31,267.0,5727.880859375,6259.0,297.0,Albuquerque - NM,2024-12-31,Class A
2029-12-31,289.0,6016.220703125,6579.0,320.0,Albuquerque - NM,2024-12-31,Class A
